temp,humidity,windspeed,sealevelpressure,PM2.5
19,75.56,13.7,1016.9,8
18.7,74.81,14.1,1019.6,12
18.9,72.33,10.1,1018.4,15
17.9,90.74,19.7,1016.1,9
14.3,93.05,20.5,1019.1,9
12.4,77.81,14.3,1019.2,12
12.1,88.6,16.1,1009,11
13.3,89.58,10.8,1011.5,10
13.7,79.75,9.2,1014.5,9
14.4,85.22,12.7,1013.3,13
13.3,92.81,20.6,1012,15
14,94.92,27,1010.7,8
14.5,86.54,24.9,1018.2,10
15,79.23,19.7,1023.7,13
15.5,78.96,23.5,1020.6,13
15,80.87,15,1018.5,19
12.8,68.45,20.8,1024.6,5
11.8,71.92,16.9,1026.6,7
13.9,76.76,20.8,1024.8,16
16.6,73.46,9.1,1023.9,16
16.6,72.82,10.8,1020,17
16.4,70.17,7.6,1018.5,15
16.7,71.25,14.4,1017.8,14
17.7,77.82,16.1,1016.9,18
17.7,84.04,15.1,1017.2,21
16.7,79.65,10.8,1019.1,20
16.6,79.48,11.6,1017.1,21
18.6,84.45,13.4,1013,23
15.2,93.92,17.5,1011.5,12
13.2,86.81,24.2,1012,8
10.4,85.24,21.5,1014.7,14
9.7,83.47,24.9,1018.5,12
9.4,83.77,21.4,1024.9,16
9.7,86.89,12.6,1023.2,16
12.5,81.59,28,1017.7,16
13.7,72.07,35.2,1011.2,6
15.8,79.9,20.9,1017.7,13
16.8,84.28,14.4,1020.7,18
15.3,88.96,20.5,1019.2,18
11.7,84.13,15.4,1022,14
10.6,88.18,17,1021.7,23
12.2,89.34,19.6,1026,23
9.3,89.5,17.9,1027.3,16
12,82.31,11.3,1021,17
12.2,78.45,18.2,1017.9,18
14.7,79.13,9.3,1017.9,17
16,75.53,22.5,1016.5,17
12.3,91.86,10.7,1018.7,21
11.6,84.4,21.6,1025.5,20
7.1,69.35,28.8,1031.1,17
5.7,67.75,26.1,1033,18
4.9,71.77,20.7,1029.2,29
5.9,78.22,17,1022,44
7.9,83.8,18.9,1015.2,28
6.1,88.98,17.7,1017.8,20
6.9,80.29,14.4,1023.1,24
9.4,77.82,22.9,1018.6,14
8.4,84.12,21.5,1020.9,16
6.7,78.78,12.7,1022.3,29
7.3,91.59,17.8,1024.9,36
9.9,79.03,20,1025.3,17
13.5,69.76,22.1,1016,8
12.7,66.98,40,1005.5,10
10.1,54.4,39.7,1012.4,3
6.4,72.56,34.2,1022.5,11
5.2,80.88,11.6,1032.2,20
4.5,77.03,9.2,1027,31
4.8,78.18,11.1,1023.6,49
8.2,78.86,17.9,1026.4,43
7.4,81.31,12.1,1026.1,39
6.9,78.53,10.2,1021.2,50
8.6,68.36,11.9,1017.7,38
8,71.52,15.1,1016.3,25
6.7,75.7,11.7,1008.2,28
7.5,92.86,14.4,1003.4,28
8.6,79.24,16.3,1007.7,14
10.2,77.89,29.9,1004.8,11
6.7,73.75,28.7,1018.9,9
6.1,78.77,24.5,1027.8,25
5.3,76.98,27.3,1017.9,24
7.1,81.13,25.3,1019.3,16
6.4,92.35,14,1030.1,32
3.8,89.11,14.1,1030,39
3.5,86.93,9.9,1025.4,63
4.1,92.11,14.3,1023.6,42
3.7,94.47,12.6,1019,36
4.6,90.16,13.5,1023.5,46
5,91.24,20.7,1029.2,38
4.4,92.78,10.8,1027.2,31
3.6,92.72,23.5,1022.3,33
6,85.46,22.4,1024.7,20
7.5,90.79,35.8,1021.5,16
9.1,88.67,31.4,1020.2,17
7.8,82.34,17.3,1011.3,20
5.3,89.59,12.6,1017.5,29
2.9,76.96,24.3,1025.8,17
3.3,85.73,14.3,1024.6,31
0.3,84.13,10.8,1012.8,59
2.2,95.82,17.9,1000.1,56
2.5,86.89,28.5,996.2,30
2.6,95.66,24,996.1,52
0.9,90.08,27.9,998.1,25
1.6,85.33,42.3,1001.5,13
4.2,79.22,37.8,1000.4,9
6.2,72.46,35.1,997.4,10
-0.2,69.13,23.6,1010.2,18
-1.5,72.81,10.1,1007.2,29
1,88.76,10.9,1004.6,56
0.9,95.62,10.8,1010,60
-0.8,91.35,14.4,1013.7,36
-3.3,92.6,21.7,1012.1,30
-2.3,91.72,23.1,1007.5,41
-0.7,94.1,12.6,1003.9,58
-0.6,96.45,9.9,1013.5,65
-0.9,86.54,12.7,1024.8,73
-3.5,89.77,9.9,1026.9,126
0.1,96.11,7.3,1027.8,95
3.4,98.04,14.2,1029.8,64
5.5,93.17,24.1,1030.3,29
